ID_cellule	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Min	Max	Range	Mean
ID97	-3.79	36.71	14.50631514	13.99263241	14.2693014	15.01807096	16.80262252	19.00320953	21.13183314	22.69187261	22.29903468	20.44106806	18.10077534	15.96500406	12.60683395	23.91322099	11.30638704	17.85181165
ID98	-3.69	35.31	15.07361474	14.39421336	14.49229747	15.16420509	16.89460178	19.1022812	21.4412384	22.61102371	21.7048967	19.82625902	18.11886066	16.4025695	13.63859371	24.12564174	10.48704803	17.93550514
ID99	-3.69	35.41	15.08582762	14.40124615	14.50989492	15.18890952	16.95536435	19.19327477	21.51911899	22.82246063	21.98711597	20.08128631	18.22684787	16.41569117	13.57210225	24.25950977	10.68740752	18.03225319
ID100	-3.69	36.71	14.51118608	13.99006109	14.25674713	15.00406461	16.78198284	18.99671471	21.13837477	22.70683287	22.31121595	20.44412224	18.10292744	15.96199157	12.61762726	23.96275239	11.34512513	17.85051844
ID101	-3.59	35.21	15.05650186	14.3837163	14.4756293	15.14627568	16.85826881	19.04690741	21.40130977	22.51814063	21.59586635	19.71336347	18.06129228	16.39923928	13.66233677	24.11654538	10.45420862	17.8880426
ID102	-3.59	35.31	15.07529374	14.39785806	14.48881406	15.16001539	16.89207273	19.10002081	21.4537389	22.64734027	21.74448091	19.83188569	18.11356663	16.41132808	13.67077098	24.17724635	10.50647536	17.94303461
ID103	-3.59	35.41	15.09133564	14.40730653	14.50884641	15.18836494	16.95885071	19.20290403	21.5369485	22.87415468	22.04724358	20.1075365	18.22778321	16.42670888	13.60628189	24.30016082	10.69387893	18.0481653
ID104	-3.59	36.71	14.47570307	13.95179206	14.21527644	14.96600085	16.73485564	18.95909686	21.10325978	22.69829262	22.32042763	20.45629602	18.09240746	15.92469908	12.57775295	23.99279305	11.4150401	17.82484229
ID105	-3.49	35.21	15.07809277	14.39765311	14.47389883	15.1425658	16.85504164	19.03620103	21.41275995	22.52858539	21.60537987	19.70366492	18.04909518	16.41982948	13.69769728	24.15009736	10.45240008	17.89189733
ID106	-3.49	35.31	15.09098351	14.41000122	14.48647338	15.15634883	16.88941096	19.09035362	21.46604276	22.66910085	21.7691817	19.83548662	18.10424309	16.42877334	13.71096992	24.22631289	10.51534298	17.94969999
ID107	-3.49	36.71	14.42290962	13.89694355	14.1596178	14.91281148	16.67269836	18.90618471	21.04754176	22.6794879	22.32330485	20.47321956	18.07751457	15.87363083	12.52690228	24.00502014	11.47811786	17.78715542
ID108	-3.39	35.21	15.08760185	14.40531733	14.47873759	15.15435534	16.88070035	19.06218668	21.45580808	22.61893223	21.70054045	19.76968949	18.06207486	16.43134375	13.6983673	24.22127025	10.52290295	17.92560733
ID109	-3.39	35.31	15.10056462	14.41779082	14.48889018	15.16646154	16.91201743	19.1132001	21.50859387	22.76118243	21.85995699	19.88548908	18.10697568	16.43967328	13.71532318	24.29493645	10.57961327	17.98006634
ID110	-3.39	36.71	14.42529171	13.89019143	14.14989355	14.89470953	16.66105999	18.9208134	21.067184	22.72859364	22.35448263	20.49172558	18.08018843	15.8646254	12.57401369	24.03958553	11.46557184	17.79406327
