ID_taxon	Super_class	Order	Family	Genus	Species	Max_length	Vertical_Distribution	Littoral	Continental_shelf	Continental_slope	Open_ocean	Habitat_soft	Habitat_rocky	Habitat_posidonia	Min_depth	Max_depth	Migration	Reproduction	Sex_reversal	Semelparity	Behavior	Diet	Trophic_level	Origin
253	osteichthyen	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_hoefleri	27	Demersal	1	0	0	0	0	1	0	10	100	NA	Oviparous	no	no	Both	Carnivorous	3.5	U
529	osteichthyen	Stomiiformes	Chauliodontidae	Chauliodus	Chauliodus_sloani	35	Pelagic	0	0	0	1	0	0	0	200	4700	Oceanodromous	Oviparous	no	no	Solitary	Carnivorous	4.2	U
8	osteichthyen	Lophiiformes	Chaunacidae	Chaunax	Chaunax_pictus	40	Demersal	0	1	1	0	1	0	0	200	978	no	Oviparous	no	no	Solitary	Carnivorous	4.3	A
9	osteichthyen	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon_furcatus	35	Pelagic	0	0	0	1	0	0	0	1	20	Oceanodromous	Oviparous	no	no	Solitary	Carnivorous	4	A
565	osteichthyen	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon_heterurus	40	Pelagic	1	0	0	0	0	0	0	1	5	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.4	U
224	osteichthyen	Scorpaeniformes	Triglidae	Chelidonichthys	Chelidonichthys_cuculus	50	Benthic	0	1	1	0	1	0	0	30	200	NA	Oviparous	no	no	Both	Carnivorous	3.8	U
487	osteichthyen	Scorpaeniformes	Triglidae	Chelidonichthys	Chelidonichthys_lucerna	75	Benthic	0	1	1	0	1	0	0	20	150	no	Oviparous	no	no	NA	Carnivorous	4	U
225	osteichthyen	Scorpaeniformes	Triglidae	Chelidonichthys	Chelidonichthys_obscurus	40	Benthic	0	1	1	0	1	0	0	2	70	NA	Oviparous	no	no	NA	Carnivorous	3.7	U
254	osteichthyen	Perciformes	Mugilidae	Chelon	Chelon_labrosus	90	Pelagic	1	0	0	0	1	1	0	1	5	Catadromous	Oviparous	no	no	Gregarious	Omnivorous	2.6	U
255	chondrichtyen	Chimaeriformes	Chimaeridae	Chimaera	Chimaera_monstrosa	100	Demersal	0	0	1	0	0	0	0	100	500	Oceanodromous	Oviparous	no	no	Both	Carnivorous	3.5	U
557	osteichthyen	Anguilliformes	Chlopsidae	Chlopsis	Chlopsis_bicolor	42	Benthic	0	1	0	0	1	0	0	20	350	NA	Oviparous	no	no	NA	Carnivorous	3.7	U
256	osteichthyen	Aulopiformes	Chlorophtalmidae	Chlorophthalmus	Chlorophthalmus_agassizi	20	Demersal	0	0	1	0	1	0	0	50	1000	no	Oviparous	Hermaphrodite	no	Gregarious	Carnivorous	3.7	U
257	osteichthyen	Perciformes	Pomacentridae	Chromis	Chromis_chromis	15	Demersal	1	0	0	0	0	1	1	5	15	no	Oviparous	no	no	Gregarious	Carnivorous	3.8	U
59	osteichthyen	Perciformes	Gobiidae	Chromogobius	Chromogobius_quadrivittatus	6.6	Benthic	1	0	0	0	0	1	0	1	5	no	Oviparous	no	no	Solitary	Carnivorous	3.4	E
60	osteichthyen	Perciformes	Gobiidae	Chromogobius	Chromogobius_zebratus	6	Demersal	1	0	0	0	0	1	0	1	5	no	Oviparous	no	no	Solitary	Carnivorous	3.2	E
258	osteichthyen	Pleuronectiformes	Citharidae	Citharus	Citharus_linguatula	30	Benthic	0	1	1	0	0	1	0	20	40	no	Oviparous	no	no	Solitary	Carnivorous	4	U
259	osteichthyen	Perciformes	Clinidae	Clinitrachus	Clinitrachus_argentatus	10	Benthic	1	0	0	0	0	1	1	0.5	1	no	Oviparous	no	no	Solitary	Carnivorous	3.5	U
260	osteichthyen	Anguilliformes	Congridae	Conger	Conger_conger	300	Benthic	0	1	1	0	1	1	0	5	100	Oceanodromous	Oviparous	no	yes	Solitary	Carnivorous	4.3	U
61	osteichthyen	Perciformes	Gobiidae	Corcyrogobius	Corcyrogobius_liechtensteini	3	Benthic	1	0	0	0	0	1	0	5	20	no	Oviparous	no	no	Solitary	Omnivorous	3.1	E
261	osteichthyen	Perciformes	Labridae	Coris	Coris_julis	28	Benthic	1	0	0	0	0	1	1	1	60	no	Oviparous	Protogynous	no	Both	Carnivorous	3.4	U
158	osteichthyen	Perciformes	Gobiidae	Coryogalops	Coryogalops_ocheticus	6.2	Demersal	1	0	0	0	1	1	1	1	5	Oceanodromous	Oviparous	no	no	NA	Carnivorous	3.2	L
262	osteichthyen	Perciformes	Coryphaenidae	Coryphaena	Coryphaena_equiselis	127	Pelagic	0	0	0	1	1	0	0	1	100	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.5	U
263	osteichthyen	Perciformes	Coryphaenidae	Coryphaena	Coryphaena_hippurus	200	Pelagic	0	0	0	1	0	0	0	1	100	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.4	U
570	osteichthyen	Gadiformes	Macrouridae	Coryphaenoides	Coryphaenoides_guentheri	48	Demersal	0	0	0	1	0	0	0	1200	2600	no	Oviparous	no	no	NA	Carnivorous	3.3	U
264	osteichthyen	Perciformes	Blenniidae	Coryphoblennius	Coryphoblennius_galerita	10	Benthic	1	0	0	0	0	1	0	0.5	1	no	Oviparous	no	no	Solitary	Omnivorous	2.3	U
139	osteichthyen	Perciformes	Sparidae	Crenidens	Crenidens_crenidens	25	Demersal	1	0	0	0	1	1	1	1	10	no	Oviparous	no	no	Solitary	Omnivorous	2.8	L
265	osteichthyen	Perciformes	Gobiidae	Crystallogobius	Crystallogobius_linearis	4.7	Benthic	0	1	0	0	1	0	0	1	400	no	Oviparous	no	yes	Gregarious	Carnivorous	3.4	U
266	osteichthyen	Perciformes	Labridae	Ctenolabrus	Ctenolabrus_rupestris	18	Benthic	1	0	0	0	0	1	1	5	20	no	Oviparous	Protogynous	no	Solitary	Carnivorous	3.6	U
608	osteichthyen	Perciformes	Nomeidae	Cubiceps	Cubiceps_capensis	100	Pelagic	0	0	0	1	0	0	0	1	3000	Oceanodromous	Oviparous	no	no	NA	Carnivorous	3.5	U
138	osteichthyen	Tetraodontiformes	Diodontidae	Cyclichthys	Cyclichthys_spilostylus	34	Demersal	1	0	0	0	0	1	0	2	90	no	Oviparous	no	no	Solitary	Carnivorous	3.5	L
623	osteichthyen	Scorpaeniformes	Cyclopteridae	Cyclopterus	Cyclopterus_lumpus	60	Demersal	0	0	1	1	0	1	0	50	150	Oceanodromous	Oviparous	no	no	Solitary	Carnivorous	3.9	A
521	osteichthyen	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone_braueri	3.8	Pelagic	0	0	0	1	0	0	0	250	900	no	Oviparous	no	no	NA	Carnivorous	3.1	U
62	osteichthyen	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone_pygmaea	3	Pelagic	0	1	1	0	0	0	0	50	1000	Amphidromous	Oviparous	no	yes	Solitary	Carnivorous	3.4	E
